"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
1,10,11,,5,0,0,0
2,9,4,6,,3,0,0
3,7,12,7,,3,0,0
4,2,1,,8,0,0,0
5,8,11,9,,1,0,
6,9,5,,9,3,,0
7,7,6,,10,2,,0
8,3,1,10,,3,0,
9,11,9,12,,1,,
10,3,7,,12,3,,
12,9,3,,,1,0,0
11,11,7,,,3,0,0
