"id","left_group_id","right_group_id","next_left_id","next_right_id","left_group_flag","left_retire","right_retire"
1,8,6,,7,0,0,0
14,10,1,,,1,0,0
13,6,5,,,0,0,0
2,10,4,8,,1,0,0
6,11,2,,10,0,0,0
3,3,12,,8,0,0,0
7,7,6,11,,0,0,0
4,14,13,,9,1,0,0
8,10,12,,11,1,,
5,5,9,9,,1,0,0
9,5,14,,12,1,,
11,6,10,14,,0,,
10,1,2,12,,1,0,0
12,1,5,,14,2,0,0
