"id","group_id","round","main_score","sub1_score","sub2_score","penalty","retire"
2,4,1,7.4,7.3,6.5,,0
1,7,1,6.5,6,6.2,,0
3,5,1,5.3,5.5,5.6,,0
7,1,1,8.5,8.6,8.2,,0
6,3,1,7.9,8.5,7.6,,0
4,6,1,7.3,7.9,7.4,,0
5,2,1,8.1,8.1,7.1,,0
8,6,2,7.2,7.3,7.2,0,0
9,2,2,7.9,7.1,7.6,0,0
10,3,2,7.6,7.8,7.9,0,0
11,1,2,8.3,8.2,8.2,0,0
