"id","group_id","round","main_score","sub1_score","sub2_score","penalty","retire"
3,5,1,7,7,6.8,,0
2,6,1,6.3,5.3,6.2,,0
5,2,1,7.9,8,7.9,,0
1,4,1,7.2,6,6.6,,0
6,1,1,7.4,7.4,7.4,,0
4,3,1,8,7.9,7.5,-1,0
7,5,2,7.4,7.3,7.3,0,0
8,1,2,7.7,7.6,7.6,0,0
9,3,2,8.3,8.2,7.8,0,0
10,2,2,8.4,8.5,8.3,0,0
