id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,1,4,5,,,,
2,9,3,,5,,,
3,8,5,,6,,,
4,6,7,6,,,,
5,,,8,,,,
6,,,,8,,,
7,,,,,,,
8,,,,,,,
