id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,4,'10:45-11:45',0,0,0,0
2,3,'11:48-12:44',0,0,0,1
3,6,'13:14-13:29',0,0,0,0
4,7,'13:32-13:47',0,0,0,0
5,6,'13:50-14:05',0,0,0,0
6,7,'14:08-14:38',0,0,0,0
7,8,'14:41-15:05',0,0,0,0
8,7,'15:08-15:23',0,0,0,0
9,7,'15:26-15:41',1,0,0,0
10,7,'15:44-15:59',0,1,0,0
11,0,'',0,0,0,0
