id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,8,6,,7,,,
2,10,4,8,,,,
3,3,12,,8,,,
4,14,13,,9,,,
5,5,9,9,,,,
6,11,2,,10,,,
7,7,,11,,,,
8,,,,11,,,
9,,,,12,,,
10,1,,12,,,,
11,,,14,,,,
12,,,,14,,,
13,,,,,,,
14,,,,,,,
