id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,6,8,,3,,,
2,9,3,,6,,,
3,7,,7,,,,
4,10,5,,7,,,
5,2,1,,8,,,
6,4,,8,,,,
7,,,10,,,,
8,,,,10,,,
9,,,,,,,
10,,,,,,,
