id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,7,33,,9,,,
2,18,36,,12,,,
3,30,13,15,,,,
4,21,10,16,,,,
5,5,35,,19,,,
6,8,39,20,,,,
7,4,3,,23,,,
8,29,32,,24,,,
9,14,,24,,,,
10,9,1,25,,,,
11,12,20,,25,,,
12,38,,26,,,,
13,17,23,,26,,,
14,34,28,27,,,,
15,,24,,27,,,
16,,27,,28,,,
17,11,26,28,,,,
18,16,2,,29,,,
19,6,,29,,,,
20,,15,,30,,,
21,19,25,30,,,,
22,22,31,,31,,,
23,37,,31,,,,
24,,,32,,,,
25,,,,32,,,
26,,,33,,,,
27,,,,33,,,
28,,,,34,,,
29,,,34,,,,
30,,,,35,,,
31,,,35,,,,
32,,,36,,,,
33,,,,36,,,
34,,,,37,,,
35,,,37,,,,
36,,,39,,,,
37,,,,39,,,
38,,,,,,,
39,,,,,,,
