id,group_id,name,name_kana,mvp,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment
69,8,福島侑希,フクシマユキ,,,,,,,,,,,,,,,,,,,,,
70,8,齋藤信輝,サイトウノブテル,,,,,,,,,,,,,,,,,,,,,
71,8,村田恵都,ムラタケイト,,,,,,,,,,,,,,,,,,,,,
72,8,濱野優ニ,ハマノユウジ,,,,,,,,,,,,,,,,,,,,,
73,8,長谷川雄士,ハセガワユウジ,,,,,,,10,1,,,,,,,,,,,,,
74,8,似内完多,ニタナイカンタ,,,,,,,,,,,,,,,,,,,,,
75,9,山口竜太郎,ヤマグチリョウタロウ,,6,1,,,,11,1,,,,,,,,,,,,,
76,9,河田梨菜,カワダリナ,,,,,,,,,,,,4,1,,4,R8 千葉県大会個人実戦優勝,11,1,,,
77,9,細谷周平,ホソヤシュウヘイ,,,,,,,,,,,,,,,,,,,,,
78,9,神田崇耀,カンダタカアキ,,,,,,,,,,,,,,,,,,,,,
79,9,村上怜央,ムラカミレオ,,,,,,,,,,,,,,,,,,,,,
80,9,日永空音,ヒナガソラト,,,,,,,,,,,,,,,,,,,,,
81,9,片岡啓太,カタオカケイタ,,,,,,,,,,,,,,,,,,,,,
82,10,中曽根碧,ナカソネアオイ,,,,,,,12,1,,5,R6 学生大会個人法形4位、R8 千葉県大会 個人法形優勝,,,,,,,,,,
83,10,山本琉太,ヤマモトリュウタ,,,,,,,13,2,,7,R8 千葉県大会個人法形準優勝,,,,,,,,,,
84,10,篠原僚介,シノハラリョウスケ,,7,1,,,,,,,,,,,,,,,,,,
85,10,相田迅,アイダジン,,,,,,,,,,,,,,,,,,,,,
86,10,淡路青葉,アワジアオバ,,,,,,,,,,,,5,2,,,,,,,,
