"id","left_group_id","right_group_id","next_left_id","next_right_id","left_group_flag","left_retire","right_retire"
3,7,1,10,,1,0,0
2,6,14,,9,0,0,0
8,8,16,12,,1,0,0
7,15,3,,12,0,0,0
12,8,3,14,,1,,
5,11,5,,11,0,0,0
6,13,4,11,,1,0,0
4,9,12,,10,0,0,0
9,10,14,13,,0,,
11,13,5,,14,1,,
10,7,12,,13,0,,
14,8,13,,16,0,0,0
13,14,12,16,,1,0,0
16,14,13,,,1,0,0
15,12,8,,,0,0,0
1,10,2,9,,1,0,0
