id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,32,'9:20-9:55',0,0,0,0
2,30,'9:58-10:51',0,0,0,0
3,2,'10:54-11:35',0,0,0,0
4,31,'11:38-12:07',0,0,0,2
5,6,'13:48-14:18',0,0,0,0
6,0,'',0,0,0,0
