id,group_id,name
1,4,宮城県チーム
2,5,山形県Aチーム
3,5,山形県Bチーム
4,7,栃木県チーム
5,10,埼玉県Aチーム
6,10,埼玉県Bチーム
7,11,千葉県Aチーム
8,11,千葉県Bチーム
9,12,東京城東チーム
10,18,山梨県Aチーム
11,18,山梨県Bチーム
12,20,新潟県Aチーム
13,20,新潟県Bチーム
14,27,和歌山県チーム
