id,left_group_id,right_group_id,next_left_id,next_right_id,left_group_flag,left_retire,right_retire
1,10,2,9,,,,
2,6,14,,9,,,
3,7,1,10,,,,
4,9,12,,10,,,
5,11,5,,11,,,
6,13,4,11,,,,
7,15,3,,12,,,
8,8,16,12,,,,
9,,,13,,,,
10,,,,13,,,
11,,,,14,,,
12,,,14,,,,
13,,,16,,,,
14,,,,16,,,
15,,,,,,,
16,,,,,,,
