id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,2,'9:00-9:50',0,0,0,0
2,4,'9:50-10:20',0,0,0,0
3,20,'10:20-10:50',0,0,0,0
4,23,'10:50-11:15',0,0,0,0
5,24,'11:15-11:40',0,0,0,0
6,4,'11:40-12:10',0,0,0,1
7,1,'13:00-13:40',0,0,0,0
8,1,'13:40-14:10',0,0,0,0
9,3,'14:10-14:30',0,0,0,0
10,21,'14:30-14:50',0,0,0,0
11,1,'14:50-15:05',0,0,0,0
12,18,'15:05-15:40',0,1,0,2
13,2,'15:40-15:45',1,0,0,0
14,4,'15:45-15:50',1,0,0,0
15,24,'15:50-15:55',1,0,0,0
16,23,'15:55-16:00',1,0,0,0
17,25,'16:00-16:05',1,0,0,0
18,20,'16:05-16:10',1,0,0,0
19,12,'16:10-16:15',1,0,0,0
20,22,'16:15-16:20',1,0,0,0
21,3,'16:20-16:25',1,0,0,0
22,21,'16:25-16:30',1,0,0,0
23,1,'16:30-16:35',1,0,0,0
24,0,'',0,0,0,0
